"source","trap_id","mosquito_number","R","L"
"2023_NoCo","Fort_Collins",46,128.776702353395,128.717161940586
"2023_NoCo","Fort_Morgan",1,128.698341531636,128.884402488426
"2023_NoCo","Fort_Morgan",2,128.675549286265,128.644611304012
"2023_NoCo","Fort_Morgan",3,128.567586805556,128.597289255401
"2023_NoCo","Fort_Morgan",4,128.840769193673,128.617837094907
"2023_NoCo","Fort_Morgan",5,128.609157986111,128.550227141204
"2023_NoCo","Greeley",1,128.775281635802,128.638234953704
"2023_NoCo","Greeley",2,128.580172646605,128.551789641204
"2023_NoCo","Greeley",3,128.73276089892,128.890601851852
"2023_NoCo","Greeley",4,128.510439332562,128.552207272377
"2023_NoCo","Greeley",5,128.72234375,128.712083815586
"2023_NoCo","Kersey",1,128.485070408951,128.542615258488
"2023_NoCo","Kersey",2,128.534712094907,128.656180073302
"2023_NoCo","Kersey",3,128.613969907407,128.864089506173
"2023_NoCo","Kersey",4,128.496950713735,128.505825617284
"2023_NoCo","Kersey",5,128.511242766204,128.620217978395
"2023_NoCo","Kersey",6,128.58869839892,128.526522472994
"2023_NoCo","Kersey",7,128.805485628858,128.739768036265
"2023_NoCo","Kersey",8,128.792329764661,128.741326195988
"2023_NoCo","Kersey",9,128.61348910108,128.666983506944
"2023_NoCo","Kersey",10,128.640185185185,128.669719328704
"2023_NoCo","Kersey",11,128.454747781636,128.488930362654
"2023_NoCo","Kersey",12,128.533190104167,128.575994888117
"2023_NoCo","Kersey",13,128.414570794753,128.696480034722
"2023_NoCo","Kersey",14,128.456670524691,128.548430748457
"2023_NoCo","Log Lane",1,128.630130208333,128.46956404321
"2023_NoCo","Log Lane",2,128.754951774691,128.748328993056
"2023_NoCo","Log Lane",3,128.575674672068,128.6196484375
"2023_NoCo","Log Lane",4,128.554720775463,128.805035204475
"2023_NoCo","Log Lane",5,128.789353780864,128.594221643519
"2023_NoCo","Log Lane",6,128.595368923611,128.593727816358
"2023_NoCo","Log Lane",7,128.665842496142,128.805112364969
"2023_NoCo","Log Lane",8,128.788132233796,128.873421585648
"2023_NoCo","Log Lane",9,128.660977044753,128.676204185957
"2023_NoCo","Log Lane",10,128.705577739198,128.662444058642
"2023_NoCo","Severance",1,128.676251446759,128.738610146605
"2023_NoCo","Severance",2,128.607048611111,128.502552565586
"2023_NoCo","Severance",3,128.777650945216,128.805185185185
"2023_NoCo","Severance",4,128.696525366512,128.845295621142
"2023_NoCo","Severance",5,128.661674864969,128.614640239198
"2023_NoCo","Severance",6,128.794175829475,128.85634211034
"2023_NoCo","Severance",7,128.638022280093,128.863028549383
"2023_NoCo","Severance",8,128.498452449846,128.711302083333
"2023_NoCo","Severance",9,128.462184124228,128.591351273148
"2023_NoCo","Severance",10,128.706605902778,128.679522569444
"2023_NoCo","Severance",11,128.50856095679,128.518946759259
"2023_NoCo","Severance",12,128.564041763117,128.697267554012
"2023_NoCo","Severance",13,128.639147376543,128.665680941358
"2023_NoCo","Severance",14,128.606400945216,128.599952256944
"2023_NoCo","Severance",15,128.711873070988,128.785986689815
"2023_NoCo","Severance",16,128.61106867284,128.654404417438
"2023_NoCo","Severance",17,128.622208719136,128.548837287809
"2023_NoCo","Severance",18,128.664560667438,128.494048032407
"2023_NoCo","Severance",19,128.712869405864,128.877317708333
"2023_NoCo","Severance",20,128.691644000772,128.750311053241
"2023_NoCo","Severance",21,128.643008294753,128.784533661265
"2023_NoCo","Severance",22,128.423312596451,128.517906057099
"2023_NoCo","Severance",23,128.833192997685,128.694975887346
"2023_NoCo","Severance",24,128.835088734568,128.772771508488
"2023_NoCo","Severance",25,128.61986400463,128.590774498457
"2023_NoCo","Severance",26,128.792969232253,128.576305459105
"2023_NoCo","Timnath",1,128.638447145062,128.804775270062
"2023_NoCo","Timnath",2,128.907462866512,129.000625964506
"2023_NoCo","Timnath",3,128.501065779321,128.710498167438
"2023_NoCo","Timnath",4,128.723898533951,128.499954185957
"2023_NoCo","Timnath",5,128.677233314043,128.746278452932
"2023_NoCo","Timnath",6,128.722061631944,128.782484567901
"2023_NoCo","Timnath",7,128.647950906636,128.707122395833
"2023_NoCo","Timnath",8,128.632690007716,128.677105999228
"2023_NoCo","Wiggins",1,128.504832658179,128.686663290895
"2023_NoCo","Wiggins",2,128.672892554012,128.783313560957
"2023_NoCo","Wiggins",3,128.768088831019,128.596487750772
"2023_NoCo","Windsor",1,128.528983410494,NA
"2023_NoCo","Windsor",2,128.398052662037,128.450053530093
"2023_NoCo","Windsor",3,128.61873746142,128.595402681327
"Moo_5_Pre",NA,1,128.47501880787,128.420899402006
"Moo_5_Pre",NA,2,128.453044463735,128.366037326389
"Moo_5_Pre",NA,3,128.48283757716,128.466007426698
"Moo_5_Pre",NA,4,128.647044270833,128.543804976852
"Moo_5_Pre",NA,5,128.497360628858,128.476759259259
"Moo_5_Pre",NA,6,128.633073881173,128.533153935185
"Moo_5_Pre",NA,7,128.423605806327,128.455383873457
"Moo_5_Pre",NA,8,128.575690104167,128.585890721451
"Moo_5_Pre",NA,9,128.679150752315,128.541820505401
"Moo_5_Pre",NA,10,128.568005883488,128.642521701389
"Moo_5_Pre",NA,11,128.538290412809,128.498661265432
"Moo_5_Pre",NA,12,128.85720003858,128.600535300926
"Moo_5_Pre",NA,13,128.475575810185,128.469338348765
"Moo_5_Pre",NA,14,128.64767023534,128.515827064043
"Moo_5_Pre",NA,15,128.371254340278,128.392509162809
"Moo_5_Pre",NA,16,128.243928915895,128.310301408179
"Moo_5_Pre",NA,17,128.728519483025,128.599371141975
"Moo_5_Pre",NA,18,128.559421778549,128.658067611883
"Moo_5_Pre",NA,19,128.41147810571,128.492144097222
"Moo_5_Pre",NA,20,128.569449266975,128.538493923611
"Nstate_16_6_pre",NA,1,128.621453028549,128.524070216049
"Nstate_16_6_pre",NA,2,128.534226466049,128.561899112654
"Nstate_16_6_pre",NA,3,128.515965470679,NA
"Nstate_16_6_pre",NA,4,128.726902970679,128.480303337191
"Nstate_16_6_pre",NA,5,128.455017843364,128.575008680556
"Nstate_16_6_pre",NA,6,128.267647087191,128.392739197531
"Nstate_16_6_pre",NA,7,128.44536410108,128.377530381944
"Nstate_16_6_pre",NA,8,128.508446662809,128.543737943673
"Nstate_16_6_pre",NA,9,128.52521412037,128.502030767747
"Nstate_16_6_pre",NA,10,128.576281346451,128.339208140432
"Nstate_16_6_pre",NA,11,128.467202932099,128.433110050154
"Nstate_16_6_pre",NA,12,128.376450135031,128.4241016
"Nstate_16_6_pre",NA,13,128.319825424383,128.475932677469
"Nstate_16_6_pre",NA,14,128.427686149691,128.511096643519
"Nstate_16_6_pre",NA,15,128.510227623457,128.522828896605
"Nstate_16_6_pre",NA,16,128.440337094907,128.547408371914
"Nstate_16_6_pre",NA,17,128.486569251543,128.483531539352
"Nstate_16_6_pre",NA,18,128.467558834877,128.381194058642
"Nstate_16_6_pre",NA,19,128.493162615741,128.459489776235
"Nstate_16_6_pre",NA,20,128.464803722994,128.474480131173
